都道府県,路線名,物件タイプ,部屋種別,駅,家賃
tokyo,ＪＲ山手線,マンション,ワンルーム,東京,9.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,有楽町,11.5万円
tokyo,ＪＲ山手線,マンション,ワンルーム,新橋,11.3万円
tokyo,ＪＲ山手線,マンション,ワンルーム,浜松町,10.8万円
tokyo,ＪＲ山手線,マンション,ワンルーム,田町,10.0万円
tokyo,ＪＲ山手線,マンション,ワンルーム,高輪ゲートウェイ,9.3万円
tokyo,ＪＲ山手線,マンション,ワンルーム,品川,9.1万円
tokyo,ＪＲ山手線,マンション,ワンルーム,大崎,8.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,五反田,8.9万円
tokyo,ＪＲ山手線,マンション,ワンルーム,目黒,9.8万円
tokyo,ＪＲ山手線,マンション,ワンルーム,恵比寿,11.0万円
tokyo,ＪＲ山手線,マンション,ワンルーム,渋谷,10.9万円
tokyo,ＪＲ山手線,マンション,ワンルーム,原宿,11.4万円
tokyo,ＪＲ山手線,マンション,ワンルーム,代々木,10.1万円
tokyo,ＪＲ山手線,マンション,ワンルーム,新宿,8.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,新大久保,7.8万円
tokyo,ＪＲ山手線,マンション,ワンルーム,高田馬場,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,目白,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,池袋,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,大塚,7.4万円
tokyo,ＪＲ山手線,マンション,ワンルーム,巣鴨,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,駒込,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,田端,7.0万円
tokyo,ＪＲ山手線,マンション,ワンルーム,西日暮里,7.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,日暮里,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,鶯谷,7.6万円
tokyo,ＪＲ山手線,マンション,ワンルーム,上野,8.2万円
tokyo,ＪＲ山手線,マンション,ワンルーム,御徒町,8.9万円
tokyo,ＪＲ山手線,マンション,ワンルーム,秋葉原,9.5万円
tokyo,ＪＲ山手線,マンション,ワンルーム,神田,10.0万円
tokyo,ＪＲ山手線,マンション,1K/1DK,東京,10.5万円
tokyo,ＪＲ山手線,マンション,1K/1DK,有楽町,11.6万円
tokyo,ＪＲ山手線,マンション,1K/1DK,新橋,11.4万円
tokyo,ＪＲ山手線,マンション,1K/1DK,浜松町,10.9万円
tokyo,ＪＲ山手線,マンション,1K/1DK,田町,10.4万円
tokyo,ＪＲ山手線,マンション,1K/1DK,高輪ゲートウェイ,9.4万円
tokyo,ＪＲ山手線,マンション,1K/1DK,品川,9.2万円
tokyo,ＪＲ山手線,マンション,1K/1DK,大崎,9.3万円
tokyo,ＪＲ山手線,マンション,1K/1DK,五反田,9.4万円
tokyo,ＪＲ山手線,マンション,1K/1DK,目黒,10.1万円
tokyo,ＪＲ山手線,マンション,1K/1DK,恵比寿,11.7万円
tokyo,ＪＲ山手線,マンション,1K/1DK,渋谷,11.0万円
tokyo,ＪＲ山手線,マンション,1K/1DK,原宿,12.3万円
tokyo,ＪＲ山手線,マンション,1K/1DK,代々木,10.8万円
tokyo,ＪＲ山手線,マンション,1K/1DK,新宿,10.9万円
tokyo,ＪＲ山手線,マンション,1K/1DK,新大久保,9.6万円
tokyo,ＪＲ山手線,マンション,1K/1DK,高田馬場,9.1万円
tokyo,ＪＲ山手線,マンション,1K/1DK,目白,8.5万円
tokyo,ＪＲ山手線,マンション,1K/1DK,池袋,8.5万円
tokyo,ＪＲ山手線,マンション,1K/1DK,大塚,8.5万円
tokyo,ＪＲ山手線,マンション,1K/1DK,巣鴨,8.9万円
tokyo,ＪＲ山手線,マンション,1K/1DK,駒込,8.8万円
tokyo,ＪＲ山手線,マンション,1K/1DK,田端,8.0万円
tokyo,ＪＲ山手線,マンション,1K/1DK,西日暮里,8.3万円
tokyo,ＪＲ山手線,マンション,1K/1DK,日暮里,8.5万円
tokyo,ＪＲ山手線,マンション,1K/1DK,鶯谷,8.9万円
tokyo,ＪＲ山手線,マンション,1K/1DK,上野,10.2万円
tokyo,ＪＲ山手線,マンション,1K/1DK,御徒町,10.2万円
tokyo,ＪＲ山手線,マンション,1K/1DK,秋葉原,10.2万円
tokyo,ＪＲ山手線,マンション,1K/1DK,神田,10.1万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,東京,18.6万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,有楽町,18.0万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,新橋,22.4万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,浜松町,22.2万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,田町,18.8万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,高輪ゲートウェイ,19.3万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,品川,18.0万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,大崎,16.8万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,五反田,17.5万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,目黒,18.9万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,恵比寿,21.4万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,渋谷,22.1万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,原宿,23.5万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,代々木,18.3万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,新宿,18.7万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,新大久保,15.2万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,高田馬場,14.5万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,目白,14.3万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,池袋,13.8万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,大塚,14.1万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,巣鴨,13.8万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,駒込,13.5万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,田端,11.2万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,西日暮里,12.0万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,日暮里,12.5万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,鶯谷,13.3万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,上野,15.4万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,御徒町,15.9万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,秋葉原,16.8万円
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,神田,17.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,東京,27.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,有楽町,24.7万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,新橋,32.8万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,浜松町,32.9万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,田町,28.0万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,高輪ゲートウェイ,27.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,品川,28.5万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,大崎,26.0万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,五反田,28.2万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,目黒,29.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,恵比寿,30.9万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,渋谷,37.2万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,原宿,44.6万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,代々木,31.3万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,新宿,29.7万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,新大久保,23.1万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,高田馬場,21.0万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,目白,21.1万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,池袋,21.0万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,大塚,20.5万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,巣鴨,20.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,駒込,18.9万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,田端,15.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,西日暮里,17.9万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,日暮里,19.1万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,鶯谷,18.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,上野,20.3万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,御徒町,21.4万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,秋葉原,23.0万円
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,神田,26.1万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,東京,34.9万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,有楽町,28.0万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,新橋,40.0万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,浜松町,41.1万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,田町,38.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,高輪ゲートウェイ,36.3万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,品川,33.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,大崎,36.6万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,五反田,38.0万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,目黒,35.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,恵比寿,51.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,渋谷,56.6万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,原宿,85.3万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,代々木,37.1万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,新宿,34.7万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,新大久保,28.2万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,高田馬場,26.8万円
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,目白,26.4万円
