建物種別,駅名,月額
賃貸アパート,お花茶屋,9.49
賃貸アパート,さいたま新都心,13.0
賃貸アパート,つつじヶ丘,15.84
賃貸アパート,ときわ台,11.85
賃貸アパート,ひばりヶ丘,11.5
賃貸アパート,みのり台,11.6
賃貸アパート,センター南,9.9
賃貸アパート,一之江,13.8
賃貸アパート,三ツ境,11.7
賃貸アパート,三ツ沢上町,10.0
賃貸アパート,三ツ沢下町,11.14
賃貸アパート,三河島,17.17
賃貸アパート,三鷹台,15.2
賃貸アパート,上尾,11.0
賃貸アパート,上星川,9.73
賃貸アパート,上板橋,10.7
賃貸アパート,上永谷,9.3
賃貸アパート,上町,14.31
賃貸アパート,下丸子,12.65
賃貸アパート,下井草,14.0
賃貸アパート,下北沢,21.53
賃貸アパート,下板橋,11.0
賃貸アパート,下落合,15.07
賃貸アパート,下高井戸,14.69
賃貸アパート,不動前,17.3
賃貸アパート,与野本町,15.06
賃貸アパート,世田谷,14.8
賃貸アパート,世田谷代田,15.72
賃貸アパート,中川,13.0
賃貸アパート,中田,10.6
賃貸アパート,中目黒,24.0
賃貸アパート,中野,15.83
賃貸アパート,中野坂上,13.5
賃貸アパート,中野島,10.25
賃貸アパート,中野新橋,14.8
賃貸アパート,久が原,15.4
賃貸アパート,久地,12.64
賃貸アパート,二俣川,12.75
賃貸アパート,二子玉川,14.8
賃貸アパート,五反野,10.4
賃貸アパート,五香,7.1
賃貸アパート,井荻,15.0
賃貸アパート,京急富岡,10.7
賃貸アパート,京成船橋,11.3
賃貸アパート,京成金町,11.2
賃貸アパート,京成高砂,12.95
賃貸アパート,京王多摩川,12.9
賃貸アパート,京王永山,10.0
賃貸アパート,京王稲田堤,12.0
賃貸アパート,代田橋,15.57
賃貸アパート,仲町台,11.9
賃貸アパート,保谷,13.5
賃貸アパート,入谷,16.7
賃貸アパート,八丁畷,10.3
賃貸アパート,八潮,10.02
賃貸アパート,六町,13.29
賃貸アパート,六郷土手,13.98
賃貸アパート,分倍河原,12.9
賃貸アパート,初台,17.3
賃貸アパート,北与野,13.0
賃貸アパート,北千住,12.39
賃貸アパート,北千束,16.0
賃貸アパート,北大宮,8.7
賃貸アパート,北戸田,11.5
賃貸アパート,北松戸,8.79
賃貸アパート,北池袋,13.5
賃貸アパート,北浦和,11.63
賃貸アパート,北綾瀬,10.98
賃貸アパート,北習志野,10.0
賃貸アパート,千住大橋,13.6
賃貸アパート,千歳烏山,13.1
賃貸アパート,千歳船橋,15.23
賃貸アパート,千石,15.0
賃貸アパート,千葉,9.5
賃貸アパート,千鳥町,11.85
賃貸アパート,南新宿,16.6
賃貸アパート,南柏,7.7
賃貸アパート,南流山,9.74
賃貸アパート,南浦和,12.83
賃貸アパート,南町田グランベリーパーク,13.42
賃貸アパート,南行徳,11.6
賃貸アパート,南阿佐ケ谷,15.0
賃貸アパート,参宮橋,18.33
賃貸アパート,吉祥寺,12.4
賃貸アパート,吉野町,11.18
賃貸アパート,向ヶ丘遊園,12.91
賃貸アパート,向河原,14.5
賃貸アパート,和光市,12.5
賃貸アパート,国分寺,12.82
賃貸アパート,国領,14.1
賃貸アパート,土呂,11.17
賃貸アパート,大久保,14.0
賃貸アパート,大井町,16.6
賃貸アパート,大倉山,11.6
賃貸アパート,大山,16.3
賃貸アパート,大岡山,15.03
賃貸アパート,大崎,15.5
賃貸アパート,大森町,11.0
賃貸アパート,大泉学園,14.2
賃貸アパート,大神宮下,11.55
賃貸アパート,大船,12.08
賃貸アパート,天王台,7.97
賃貸アパート,天王町,14.62
賃貸アパート,奥沢,15.9
賃貸アパート,妙典,12.38
賃貸アパート,妙蓮寺,11.7
賃貸アパート,学芸大学,14.8
賃貸アパート,宮原,7.75
賃貸アパート,宿河原,12.95
賃貸アパート,富士見ヶ丘,13.92
賃貸アパート,富士見台,16.88
賃貸アパート,富士見町,11.35
賃貸アパート,小岩,11.8
賃貸アパート,小島新田,11.93
賃貸アパート,小村井,11.6
賃貸アパート,小竹向原,14.9
賃貸アパート,尻手,12.19
賃貸アパート,尾山台,15.0
賃貸アパート,屏風浦,12.0
賃貸アパート,山下,12.5
賃貸アパート,山手,11.3
賃貸アパート,岸根公園,12.69
賃貸アパート,川崎新町,11.04
賃貸アパート,巣鴨,12.9
賃貸アパート,市が尾,11.65
賃貸アパート,幕張,8.65
賃貸アパート,平和台,12.88
賃貸アパート,平塚,10.0
賃貸アパート,平間,11.3
賃貸アパート,弘明寺,11.35
賃貸アパート,志村三丁目,12.69
賃貸アパート,志村坂上,12.7
賃貸アパート,志茂,10.9
賃貸アパート,恵比寿,27.4
賃貸アパート,成増,11.64
賃貸アパート,戸田公園,11.5
賃貸アパート,扇大橋,11.59
賃貸アパート,新三河島,14.48
賃貸アパート,新丸子,16.24
賃貸アパート,新井薬師前,17.4
賃貸アパート,新八柱,8.63
賃貸アパート,新大塚,13.8
賃貸アパート,新検見川,7.6
賃貸アパート,新横浜,11.75
賃貸アパート,新江古田,12.45
賃貸アパート,新田,9.8
賃貸アパート,新羽,10.32
賃貸アパート,新越谷,11.55
賃貸アパート,新高島平,11.2
賃貸アパート,旗の台,16.0
賃貸アパート,日ノ出町,15.62
賃貸アパート,日吉本町,12.8
賃貸アパート,日暮里,13.3
賃貸アパート,明大前,13.7
賃貸アパート,曙橋,20.97
賃貸アパート,月島,16.2
賃貸アパート,朝霞,11.24
賃貸アパート,本八幡,10.2
賃貸アパート,本郷三丁目,16.2
賃貸アパート,本鵠沼,12.7
賃貸アパート,杉田,10.45
賃貸アパート,東中野,16.0
賃貸アパート,東伏見,11.6
賃貸アパート,東向島,13.99
賃貸アパート,東大宮,8.18
賃貸アパート,東川口,8.1
賃貸アパート,東府中,15.58
