建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,ＪＲ総武線 船橋駅 5階建 築6年,ＪＲ総武線/船橋駅 歩6分,船橋,11.9,1.05,12.950000000000001
賃貸マンション,マルベリール船橋,東葉高速鉄道/東海神駅 歩5分,東海神,11.9,1.05,12.950000000000001
賃貸マンション,マルベリール船橋,東葉高速鉄道/東海神駅 歩5分,東海神,11.9,1.05,12.950000000000001
賃貸マンション,フェアリア　船橋本町,ＪＲ総武線/船橋駅 歩3分,船橋,14.5,0.0,14.5
賃貸マンション,フェアリア　船橋本町,ＪＲ総武線/船橋駅 歩3分,船橋,14.5,0.0,14.5
賃貸マンション,フェアリア　船橋本町,ＪＲ総武線/船橋駅 歩3分,船橋,15.0,0.0,15.0
賃貸マンション,フェアリア　船橋本町,ＪＲ総武線/船橋駅 歩3分,船橋,15.0,0.0,15.0
賃貸マンション,フェアリア　船橋本町,ＪＲ総武線/船橋駅 歩3分,船橋,15.0,0.0,15.0
賃貸マンション,フェアリア　船橋本町,ＪＲ総武線/船橋駅 歩3分,船橋,16.0,0.0,16.0
賃貸アパート,グレイスゲート新八柱,ＪＲ武蔵野線/新八柱駅 歩4分,新八柱,9.2,0.5,9.7
賃貸アパート,グレイスゲート新八柱,ＪＲ武蔵野線/新八柱駅 歩4分,新八柱,9.5,0.5,10.0
賃貸アパート,ＪＲ武蔵野線 新八柱駅 3階建 新築,ＪＲ武蔵野線/新八柱駅 歩4分,新八柱,9.2,0.5,9.7
賃貸アパート,ＪＲ武蔵野線 新八柱駅 3階建 新築,ＪＲ武蔵野線/新八柱駅 歩4分,新八柱,9.5,0.5,10.0
賃貸マンション,ＪＲ総武線 船橋駅 10階建 築3年,ＪＲ総武線/船橋駅 歩6分,船橋,15.0,0.0,15.0
賃貸マンション,ＪＲ総武線 船橋駅 10階建 築3年,ＪＲ総武線/船橋駅 歩6分,船橋,15.0,0.0,15.0
賃貸マンション,ＪＲ総武線 船橋駅 10階建 築3年,ＪＲ総武線/船橋駅 歩6分,船橋,15.0,0.0,15.0
賃貸マンション,ＥＬＩＺＡＢＥＴＨ,ＪＲ総武線/幕張本郷駅 歩4分,幕張本郷,10.1,0.35,10.45
賃貸マンション,ＥＬＩＺＡＢＥＴＨ,ＪＲ総武線/幕張本郷駅 歩4分,幕張本郷,10.1,0.35,10.45
賃貸マンション,ＥＬＩＺＡＢＥＴＨ,ＪＲ総武線/幕張本郷駅 歩4分,幕張本郷,11.0,0.35,11.35
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,7.45,1.0,8.45
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,7.55,1.0,8.55
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,7.55,1.0,8.55
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,7.65,1.0,8.65
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,7.9,1.0,8.9
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,8.2,1.0,9.2
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,8.2,1.0,9.2
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,8.2,1.0,9.2
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,8.3,1.0,9.3
賃貸マンション,金太郎ヒルズ２５５,京成千葉線/京成幕張本郷駅 歩1分,京成幕張本郷,8.3,1.0,9.3
賃貸アパート,仮）Best　Stage松戸市常盤平II,ＪＲ武蔵野線/新八柱駅 歩6分,新八柱,7.4,0.3,7.7
賃貸アパート,仮）Best　Stage松戸市常盤平II,ＪＲ武蔵野線/新八柱駅 歩6分,新八柱,7.4,0.3,7.7
賃貸アパート,仮）Best　Stage松戸市常盤平II,ＪＲ武蔵野線/新八柱駅 歩6分,新八柱,7.7,0.3,8.0
