駅名,所要時間範囲,所要時間,乗り換え回数,路線名,駅名_cleaned,station_name,address,lon,lat,company,line_name
田町（東京都）,0-10分,4分,乗換0回,ＪＲ山手線,田町,田町,東京都港区芝五丁目33-36,139.747575,35.645736,ＪＲ,山手線
品川,0-10分,4分,乗換0回,ＪＲ山手線,品川,品川,東京都港区高輪三丁目26-27,139.738999,35.62876,ＪＲ,山手線
浜松町,0-10分,6分,乗換0回,ＪＲ山手線,浜松町,浜松町,東京都港区海岸一丁目3-1,139.757135,35.655391,ＪＲ,山手線
大崎,0-10分,7分,乗換0回,ＪＲ山手線,大崎,大崎,東京都品川区大崎一丁目21-4,139.728439,35.619772,ＪＲ,山手線
新橋,0-10分,8分,乗換0回,ＪＲ山手線,新橋,新橋,東京都港区新橋二丁目17,139.758587,35.666195,ＪＲ,山手線
五反田,0-10分,9分,乗換0回,ＪＲ山手線,五反田,五反田,東京都品川区東五反田一丁目26,139.723822,35.625974,ＪＲ,山手線
有楽町,0-10分,10分,乗換0回,ＪＲ山手線,有楽町,有楽町,東京都千代田区有楽町二丁目9,139.763806,35.675441,ＪＲ,山手線
大井町,0-10分,8分,乗換0回,ＪＲ京浜東北線,大井町,大井町,品川区大井１丁目,139.73485,35.606257,ＪＲ,京浜東北線
大森（東京都）,11-20分,11分,乗換0回,ＪＲ京浜東北線,大森,大森,大田区大森北１丁目,139.728079,35.588903,ＪＲ,京浜東北線
東京,11-20分,11分,乗換0回,ＪＲ京浜東北線,東京,東京,東京都千代田区丸の内一丁目,139.766103,35.681391,ＪＲ,京浜東北線
神田（東京都）,11-20分,13分,乗換0回,ＪＲ京浜東北線,神田,神田,東京都千代田区鍛冶町二丁目13-1,139.770641,35.691173,ＪＲ,京浜東北線
蒲田,11-20分,15分,乗換0回,ＪＲ京浜東北線,蒲田,蒲田,大田区蒲田５丁目,139.716032,35.562517,ＪＲ,京浜東北線
秋葉原,11-20分,15分,乗換0回,ＪＲ京浜東北線,秋葉原,秋葉原,東京都千代田区外神田一丁目17,139.773288,35.698619,ＪＲ,京浜東北線
上野,11-20分,17分,乗換0回,ＪＲ京浜東北線,上野,上野,東京都台東区上野七丁目1-1,139.777043,35.71379,ＪＲ,京浜東北線
川崎,11-20分,18分,乗換0回,ＪＲ京浜東北線,川崎,川崎,川崎市川崎区駅前本町,139.697485,35.531311,ＪＲ,京浜東北線
目黒,11-20分,11分,乗換0回,ＪＲ山手線,目黒,目黒,東京都品川区上大崎二丁目16-9,139.715775,35.633923,ＪＲ,山手線
恵比寿（東京都）,11-20分,13分,乗換0回,ＪＲ山手線,恵比寿,恵比寿,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685,ＪＲ,山手線
渋谷,11-20分,16分,乗換0回,ＪＲ山手線,渋谷,渋谷,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,ＪＲ,山手線
原宿,11-20分,18分,乗換0回,ＪＲ山手線,原宿,原宿,東京都渋谷区神宮前一丁目18,139.702592,35.670646,ＪＲ,山手線
御徒町,11-20分,18分,乗換0回,ＪＲ山手線,御徒町,御徒町,東京都台東区上野五丁目27,139.774727,35.707282,ＪＲ,山手線
高輪台,11-20分,12分,乗換0回,都営浅草線,高輪台,高輪台,港区白金台２-２６-７,139.730305,35.631679,都営,浅草線
戸越,11-20分,15分,乗換0回,都営浅草線,戸越,戸越,品川区戸越３-４-１７,139.716495,35.614633,都営,浅草線
中延,11-20分,17分,乗換0回,都営浅草線,中延,中延,品川区中延４-５-５,139.712526,35.60571,都営,浅草線
東銀座,11-20分,17分,乗換0回,都営浅草線,東銀座,東銀座,中央区銀座４-１２-１５,139.767253,35.669464,都営,浅草線
馬込,11-20分,19分,乗換0回,都営浅草線,馬込,馬込,大田区北馬込２-３１-９,139.711772,35.596435,都営,浅草線
宝町（東京都）,11-20分,19分,乗換0回,都営浅草線,宝町,宝町,中央区京橋２-１３-１１,139.771767,35.675461,都営,浅草線
北品川,11-20分,14分,乗換1回,京急本線,北品川,北品川,品川区北品川１-１-４,139.739191,35.622458,京急,本線
新馬場,11-20分,15分,乗換1回,京急本線,新馬場,新馬場,品川区北品川２-１８-１,139.741366,35.61762,京急,本線
青物横丁,11-20分,17分,乗換1回,京急本線,青物横丁,青物横丁,品川区南品川３-１-２０,139.742958,35.609351,京急,本線
鮫洲,11-20分,20分,乗換1回,京急本線,鮫洲,鮫洲,品川区東大井１-２-２０,139.742227,35.604977,京急,本線
下神明,11-20分,16分,乗換1回,東急大井町線,下神明,下神明,品川区西品川１-２９-６,139.726256,35.608704,東急,大井町線
戸越公園,11-20分,18分,乗換1回,東急大井町線,戸越公園,戸越公園,品川区戸越５-１０-１５,139.718159,35.608856,東急,大井町線
荏原町,11-20分,20分,乗換1回,東急大井町線,荏原町,荏原町,品川区中延５-２-１,139.707571,35.60382,東急,大井町線
銀座,11-20分,16分,乗換1回,東京メトロ銀座線,銀座,銀座,中央区銀座４-１-２,139.763965,35.671989,東京メトロ,銀座線
虎ノ門,11-20分,16分,乗換1回,東京メトロ銀座線,虎ノ門,虎ノ門,港区虎ノ門１-１-２１,139.749832,35.670236,東京メトロ,銀座線
京橋（東京都）,11-20分,17分,乗換1回,東京メトロ銀座線,京橋,京橋,中央区京橋２-２-１０,139.770126,35.676856,東京メトロ,銀座線
三越前,11-20分,18分,乗換1回,東京メトロ銀座線,三越前,三越前,中央区日本橋室町１-８-１,139.773594,35.687101,東京メトロ,銀座線
溜池山王,11-20分,18分,乗換1回,東京メトロ銀座線,溜池山王,溜池山王,千代田区永田町２-１１-１,139.741419,35.673621,東京メトロ,銀座線
日本橋（東京都）,11-20分,19分,乗換1回,東京メトロ銀座線,日本橋,日本橋,中央区日本橋１丁目,139.773516,35.682078,東京メトロ,銀座線
末広町（東京都）,11-20分,19分,乗換1回,東京メトロ銀座線,末広町,末広町,千代田区外神田４-７-３,139.771713,35.702972,東京メトロ,銀座線
上野広小路,11-20分,20分,乗換1回,東京メトロ銀座線,上野広小路,上野広小路,台東区上野３-２９-３,139.772877,35.70768,東京メトロ,銀座線
