都道府県,路線名,物件タイプ,部屋種別,生成されたURL
tokyo,ＪＲ山手線,マンション,ワンルーム,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=1&mdKbn=01
tokyo,ＪＲ山手線,マンション,1K/1DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=1&mdKbn=02
tokyo,ＪＲ山手線,マンション,1LDK/2K/2DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=1&mdKbn=03
tokyo,ＪＲ山手線,マンション,2LDK/3K/3DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=1&mdKbn=04
tokyo,ＪＲ山手線,マンション,3LDK/4K以上,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=1&mdKbn=05
tokyo,ＪＲ山手線,アパート,ワンルーム,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=2&mdKbn=01
tokyo,ＪＲ山手線,アパート,1K/1DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=2&mdKbn=02
tokyo,ＪＲ山手線,アパート,1LDK/2K/2DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=2&mdKbn=03
tokyo,ＪＲ山手線,アパート,2LDK/3K/3DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=2&mdKbn=04
tokyo,ＪＲ山手線,アパート,3LDK/4K以上,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=2&mdKbn=05
tokyo,ＪＲ山手線,一戸建て・その他,ワンルーム,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=3&mdKbn=01
tokyo,ＪＲ山手線,一戸建て・その他,1K/1DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=3&mdKbn=02
tokyo,ＪＲ山手線,一戸建て・その他,1LDK/2K/2DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=3&mdKbn=03
tokyo,ＪＲ山手線,一戸建て・その他,2LDK/3K/3DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=3&mdKbn=04
tokyo,ＪＲ山手線,一戸建て・その他,3LDK/4K以上,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0005&sort=1&ts=3&mdKbn=05
tokyo,ＪＲ京浜東北線,マンション,ワンルーム,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0125&sort=1&ts=1&mdKbn=01
tokyo,ＪＲ京浜東北線,マンション,1K/1DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0125&sort=1&ts=1&mdKbn=02
tokyo,ＪＲ京浜東北線,マンション,1LDK/2K/2DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0125&sort=1&ts=1&mdKbn=03
tokyo,ＪＲ京浜東北線,マンション,2LDK/3K/3DK,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0125&sort=1&ts=1&mdKbn=04
tokyo,ＪＲ京浜東北線,マンション,3LDK/4K以上,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0125&sort=1&ts=1&mdKbn=05
tokyo,ＪＲ京浜東北線,アパート,ワンルーム,https://suumo.jp/jj/chintai/kensaku/FR301FB034/?ar=030&bs=040&ra=013&rn=0125&sort=1&ts=2&mdKbn=01
