駅名,所要時間範囲,所要時間,乗り換え回数,路線名
田町（東京都）,0-10分,4分,乗換0回,ＪＲ山手線
品川,0-10分,4分,乗換0回,ＪＲ山手線
浜松町,0-10分,6分,乗換0回,ＪＲ山手線
大崎,0-10分,7分,乗換0回,ＪＲ山手線
新橋,0-10分,8分,乗換0回,ＪＲ山手線
五反田,0-10分,9分,乗換0回,ＪＲ山手線
有楽町,0-10分,10分,乗換0回,ＪＲ山手線
大井町,0-10分,8分,乗換0回,ＪＲ京浜東北線
大森（東京都）,11-20分,11分,乗換0回,ＪＲ京浜東北線
東京,11-20分,11分,乗換0回,ＪＲ京浜東北線
神田（東京都）,11-20分,13分,乗換0回,ＪＲ京浜東北線
蒲田,11-20分,15分,乗換0回,ＪＲ京浜東北線
秋葉原,11-20分,15分,乗換0回,ＪＲ京浜東北線
上野,11-20分,17分,乗換0回,ＪＲ京浜東北線
川崎,11-20分,18分,乗換0回,ＪＲ京浜東北線
目黒,11-20分,11分,乗換0回,ＪＲ山手線
恵比寿（東京都）,11-20分,13分,乗換0回,ＪＲ山手線
渋谷,11-20分,16分,乗換0回,ＪＲ山手線
原宿,11-20分,18分,乗換0回,ＪＲ山手線
御徒町,11-20分,18分,乗換0回,ＪＲ山手線
高輪台,11-20分,12分,乗換0回,都営浅草線
戸越,11-20分,15分,乗換0回,都営浅草線
中延,11-20分,17分,乗換0回,都営浅草線
東銀座,11-20分,17分,乗換0回,都営浅草線
馬込,11-20分,19分,乗換0回,都営浅草線
宝町（東京都）,11-20分,19分,乗換0回,都営浅草線
北品川,11-20分,14分,乗換1回,京急本線
新馬場,11-20分,15分,乗換1回,京急本線
青物横丁,11-20分,17分,乗換1回,京急本線
鮫洲,11-20分,20分,乗換1回,京急本線
下神明,11-20分,16分,乗換1回,東急大井町線
戸越公園,11-20分,18分,乗換1回,東急大井町線
荏原町,11-20分,20分,乗換1回,東急大井町線
銀座,11-20分,16分,乗換1回,東京メトロ銀座線
虎ノ門,11-20分,16分,乗換1回,東京メトロ銀座線
京橋（東京都）,11-20分,17分,乗換1回,東京メトロ銀座線
三越前,11-20分,18分,乗換1回,東京メトロ銀座線
溜池山王,11-20分,18分,乗換1回,東京メトロ銀座線
日本橋（東京都）,11-20分,19分,乗換1回,東京メトロ銀座線
末広町（東京都）,11-20分,19分,乗換1回,東京メトロ銀座線
上野広小路,11-20分,20分,乗換1回,東京メトロ銀座線
赤坂見附,11-20分,20分,乗換1回,東京メトロ銀座線
芝公園,11-20分,16分,乗換1回,都営三田線
御成門,11-20分,18分,乗換1回,都営三田線
白金高輪,11-20分,19分,乗換1回,都営三田線
大崎広小路,11-20分,16分,乗換1回,東急池上線
荏原中延,11-20分,19分,乗換1回,東急池上線
霞ヶ関（東京都）,11-20分,19分,乗換1回,東京メトロ日比谷線
虎ノ門ヒルズ,11-20分,20分,乗換1回,東京メトロ日比谷線
不動前,11-20分,19分,乗換1回,東急目黒線
赤羽橋,11-20分,19分,乗換1回,都営大江戸線（環状部）
築地市場,11-20分,20分,乗換1回,都営大江戸線（環状部）
白金台,11-20分,19分,乗換1回,東京メトロ南北線
品川シーサイド,11-20分,19分,乗換1回,りんかい線
竹芝,11-20分,20分,乗換1回,ゆりかもめ
天王洲アイル（モノレール）,11-20分,20分,乗換1回,東京モノレール
旗の台,21-30分,21分,乗換1回,東急池上線
長原（東京都）,21-30分,22分,乗換1回,東急池上線
洗足池,21-30分,24分,乗換1回,東急池上線
蓮沼,21-30分,24分,乗換1回,東急池上線
石川台,21-30分,25分,乗換1回,東急池上線
池上,21-30分,26分,乗換1回,東急池上線
雪が谷大塚,21-30分,27分,乗換1回,東急池上線
御嶽山,21-30分,28分,乗換1回,東急池上線
千鳥町,21-30分,28分,乗換1回,東急池上線
久が原,21-30分,29分,乗換1回,東急池上線
銀座一丁目,21-30分,21分,乗換1回,東京メトロ有楽町線
桜田門,21-30分,22分,乗換1回,東京メトロ有楽町線
新富町（東京都）,21-30分,23分,乗換1回,東京メトロ有楽町線
麹町,21-30分,26分,乗換1回,東京メトロ有楽町線
豊洲,21-30分,27分,乗換1回,東京メトロ有楽町線
市ヶ谷,21-30分,28分,乗換1回,東京メトロ有楽町線
辰巳,21-30分,29分,乗換1回,東京メトロ有楽町線
御茶ノ水,21-30分,21分,乗換1回,ＪＲ中央本線（東京-塩尻）
水道橋,21-30分,24分,乗換1回,ＪＲ中央本線（東京-塩尻）
四ツ谷,21-30分,26分,乗換1回,ＪＲ中央本線（東京-塩尻）
飯田橋,21-30分,26分,乗換1回,ＪＲ中央本線（東京-塩尻）
千駄ヶ谷,21-30分,28分,乗換1回,ＪＲ中央本線（東京-塩尻）
信濃町,21-30分,30分,乗換1回,ＪＲ中央本線（東京-塩尻）
大久保（東京都）,21-30分,30分,乗換1回,ＪＲ中央本線（東京-塩尻）
西大井,21-30分,21分,乗換1回,ＪＲ横須賀線
武蔵小杉,21-30分,26分,乗換1回,ＪＲ横須賀線
新川崎,21-30分,29分,乗換1回,ＪＲ横須賀線
西馬込,21-30分,21分,乗換0回,都営浅草線
