建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸アパート,エスポアハイム,ＪＲ埼京線/北戸田駅 歩7分,北戸田,11.0,0.5,11.5
賃貸アパート,椿ヴィレッジ,東武野田線/北大宮駅 歩7分,北大宮,8.2,0.5,8.7
賃貸アパート,カンターレ・T,東武伊勢崎線/新越谷駅 歩2分,新越谷,10.0,0.3,10.3
賃貸アパート,東武野田線 北大宮駅 3階建 築9年,東武野田線/北大宮駅 歩7分,北大宮,8.2,0.5,8.7
賃貸アパート,ソレーユ ヒロ,東武伊勢崎線/蒲生駅 歩7分,蒲生,8.5,0.5,9.0
賃貸アパート,東武伊勢崎線 蒲生駅 3階建 築10年,東武伊勢崎線/蒲生駅 歩7分,蒲生,8.5,0.5,9.0
賃貸マンション,アミティエ　八潮,つくばエクスプレス/八潮駅 歩3分,八潮,9.0,0.55,9.55
賃貸マンション,ｓｕｎ　ｐｉｌｌａｒ,ＪＲ埼京線/戸田駅 歩7分,戸田,8.1,0.5,8.6
賃貸マンション,ｓｕｎ　ｐｉｌｌａｒ,ＪＲ埼京線/戸田駅 歩7分,戸田,8.2,0.5,8.7
賃貸アパート,サウンドビュー,ＪＲ埼京線/北与野駅 歩7分,北与野,12.5,0.5,13.0
賃貸マンション,メゾンさいたま新都心,ＪＲ京浜東北線/さいたま新都心駅 歩5分,さいたま新都心,14.4,0.55,14.950000000000001
賃貸アパート,ＪＲ高崎線 上尾駅 3階建 新築,ＪＲ高崎線/上尾駅 歩7分,上尾,11.0,0.6,11.6
賃貸アパート,ＪＲ高崎線 上尾駅 3階建 新築,ＪＲ高崎線/上尾駅 歩7分,上尾,11.0,0.6,11.6
賃貸アパート,ノーブルヴィラ上尾,ＪＲ高崎線/上尾駅 歩7分,上尾,11.0,0.6,11.6
賃貸アパート,ノーブルヴィラ上尾,ＪＲ高崎線/上尾駅 歩7分,上尾,11.0,0.6,11.6
賃貸マンション,リラフォート,ＪＲ京浜東北線/蕨駅 歩4分,蕨,12.2,0.7,12.899999999999999
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.9,1.5,11.4
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.9,1.5,11.4
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.95,1.5,11.45
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,10.0,1.5,11.5
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.9,1.6,11.5
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.95,1.6,11.549999999999999
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,10.0,1.6,11.6
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,11.2,1.6,12.799999999999999
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,11.35,1.5,12.85
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.0,1.5,14.5
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.0,1.5,14.5
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.2,1.5,14.7
賃貸マンション,サンクレイドル川口並木,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.2,1.8,15.0
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.9,1.5,11.4
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.95,1.5,11.45
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,9.95,1.6,11.549999999999999
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,10.1,1.5,11.6
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,11.2,1.6,12.799999999999999
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.0,1.5,14.5
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.0,1.5,14.5
賃貸マンション,ＪＲ京浜東北線 西川口駅 10階建 築6年,ＪＲ京浜東北線/西川口駅 歩4分,西川口,13.2,1.5,14.7
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.0,0.9,14.9
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.1,0.9,15.0
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.2,0.9,15.1
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.3,0.9,15.200000000000001
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.4,0.9,15.3
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.5,0.9,15.4
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.6,0.9,15.5
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.7,0.9,15.6
賃貸マンション,Prime Cozy,東武野田線/北大宮駅 歩6分,北大宮,14.8,0.9,15.700000000000001
賃貸アパート,アンクレージュI,東武伊勢崎線/獨協大学前駅 歩5分,獨協大学前,9.2,0.5,9.7
賃貸アパート,東武伊勢崎線 谷塚駅 3階建 築6年,東武伊勢崎線/谷塚駅 歩4分,谷塚,7.5,0.0,7.5
賃貸マンション,Ｍａｉｓｏｎ　Ｓｅｐｔｅｍ,ＪＲ埼京線/北与野駅 歩7分,北与野,13.7,0.75,14.45
賃貸マンション,Ｍａｉｓｏｎ　Ｓｅｐｔｅｍ,ＪＲ埼京線/北与野駅 歩7分,北与野,13.9,0.75,14.65
賃貸マンション,Ｍａｉｓｏｎ　Ｓｅｐｔｅｍ,ＪＲ埼京線/北与野駅 歩7分,北与野,13.9,0.75,14.65
賃貸マンション,Ｍａｉｓｏｎ　Ｓｅｐｔｅｍ,ＪＲ埼京線/北与野駅 歩7分,北与野,14.7,0.75,15.45
賃貸マンション,Ｍａｉｓｏｎ　Ｓｅｐｔｅｍ,ＪＲ埼京線/北与野駅 歩7分,北与野,14.9,0.75,15.65
賃貸マンション,Ｍａｉｓｏｎ　Ｓｅｐｔｅｍ,ＪＲ埼京線/北与野駅 歩7分,北与野,14.9,0.75,15.65
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.0,0.9,14.9
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.1,0.9,15.0
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.2,0.9,15.1
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.3,0.9,15.200000000000001
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.4,0.9,15.3
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.5,0.9,15.4
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.6,0.9,15.5
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.7,0.9,15.6
賃貸マンション,東武野田線 北大宮駅 14階建 新築,東武野田線/北大宮駅 歩6分,北大宮,14.8,0.9,15.700000000000001
賃貸マンション,パークアレー川口,ＪＲ京浜東北線/川口駅 歩7分,川口,10.9,0.8,11.700000000000001
賃貸マンション,パークアレー川口,ＪＲ京浜東北線/川口駅 歩7分,川口,11.1,0.8,11.9
賃貸マンション,パークアレー川口,ＪＲ京浜東北線/川口駅 歩7分,川口,11.3,0.8,12.100000000000001
賃貸マンション,ヴィア・ステージ,ＪＲ埼京線/戸田公園駅 歩2分,戸田公園,14.5,1.0,15.5
賃貸マンション,ラコルタ南浦和Ｓｔａ．,ＪＲ京浜東北線/南浦和駅 歩2分,南浦和,12.6,0.44,13.04
賃貸マンション,エストセントレ,ＪＲ京浜東北線/浦和駅 歩4分,浦和,12.6,0.8,13.4
賃貸マンション,ＪＲ京浜東北線 浦和駅 7階建 築10年,ＪＲ京浜東北線/浦和駅 歩4分,浦和,12.6,0.8,13.4
賃貸アパート,REGALEST　土呂　プレミアム,ＪＲ宇都宮線/土呂駅 歩4分,土呂,8.4,0.3,8.700000000000001
賃貸アパート,REGALEST　土呂　プレミアム,ＪＲ宇都宮線/土呂駅 歩4分,土呂,8.6,0.3,8.9
賃貸アパート,REGALEST　土呂　プレミアム,ＪＲ宇都宮線/土呂駅 歩4分,土呂,8.7,0.3,9.0
賃貸アパート,REGALEST　土呂　プレミアム,ＪＲ宇都宮線/土呂駅 歩4分,土呂,8.7,0.3,9.0
賃貸アパート,REGALEST　土呂　プレミアム,ＪＲ宇都宮線/土呂駅 歩4分,土呂,8.8,0.3,9.100000000000001
賃貸アパート,リーブルファイン八潮南川崎２号棟,つくばエクスプレス/八潮駅 歩6分,八潮,8.1,0.3,8.4
賃貸アパート,リーブルファイン八潮南川崎２号棟,つくばエクスプレス/八潮駅 歩6分,八潮,8.1,0.3,8.4
賃貸アパート,リーブルファイン八潮南川崎２号棟,つくばエクスプレス/八潮駅 歩6分,八潮,8.2,0.3,8.5
賃貸アパート,リーブルファイン八潮南川崎２号棟,つくばエクスプレス/八潮駅 歩6分,八潮,8.3,0.3,8.600000000000001
賃貸アパート,リーブルファイン八潮南川崎２号棟,つくばエクスプレス/八潮駅 歩6分,八潮,8.4,0.3,8.700000000000001
賃貸アパート,湘南新宿ライン宇須 土呂駅 3階建 新築,湘南新宿ライン宇須/土呂駅 歩4分,土呂,8.5,0.3,8.8
賃貸アパート,湘南新宿ライン宇須 土呂駅 3階建 新築,湘南新宿ライン宇須/土呂駅 歩4分,土呂,8.6,0.3,8.9
賃貸アパート,湘南新宿ライン宇須 土呂駅 3階建 新築,湘南新宿ライン宇須/土呂駅 歩4分,土呂,8.6,0.3,8.9
賃貸アパート,湘南新宿ライン宇須 土呂駅 3階建 新築,湘南新宿ライン宇須/土呂駅 歩4分,土呂,8.7,0.3,9.0
賃貸アパート,湘南新宿ライン宇須 土呂駅 3階建 新築,湘南新宿ライン宇須/土呂駅 歩4分,土呂,8.8,0.3,9.100000000000001
賃貸アパート,LotusGran蕨（ロータスグラン蕨）,ＪＲ京浜東北線/蕨駅 歩7分,蕨,8.1,0.3,8.4
賃貸アパート,LotusGran蕨（ロータスグラン蕨）,ＪＲ京浜東北線/蕨駅 歩7分,蕨,8.3,0.3,8.600000000000001
賃貸アパート,LotusGran蕨（ロータスグラン蕨）,ＪＲ京浜東北線/蕨駅 歩7分,蕨,8.5,0.3,8.8
賃貸アパート,LotusGran蕨（ロータスグラン蕨）,ＪＲ京浜東北線/蕨駅 歩7分,蕨,8.6,0.3,8.9
賃貸アパート,LotusGran蕨（ロータスグラン蕨）,ＪＲ京浜東北線/蕨駅 歩7分,蕨,8.6,0.3,8.9
賃貸アパート,LotusGran蕨（ロータスグラン蕨）,ＪＲ京浜東北線/蕨駅 歩7分,蕨,8.7,0.3,9.0
賃貸マンション,カリーチェ八潮,つくばエクスプレス/八潮駅 歩3分,八潮,10.9,0.7,11.6
賃貸マンション,Soleil武蔵浦和,ＪＲ埼京線/武蔵浦和駅 歩5分,武蔵浦和,12.2,0.5,12.7
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.1,0.5,10.6
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.4,0.5,10.9
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.4,0.5,10.9
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.4,0.5,10.9
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.4,0.5,10.9
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.5,0.5,11.0
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.5,0.5,11.0
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.7,0.5,11.2
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.7,0.5,11.2
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.7,0.5,11.2
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.7,0.5,11.2
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.8,0.5,11.3
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.8,0.5,11.3
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.8,0.5,11.3
賃貸アパート,ディール北浦和I,ＪＲ京浜東北線/北浦和駅 歩5分,北浦和,10.9,0.5,11.4
賃貸アパート,Ｐｒｅｎｄｒｅ（プランドール),東武東上線/和光市駅 歩4分,和光市,12.0,0.5,12.5
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 築8年,東武伊勢崎線/新越谷駅 歩5分,新越谷,10.0,0.5,10.5
賃貸マンション,ＪＲ埼京線 戸田公園駅 8階建 築10年,ＪＲ埼京線/戸田公園駅 歩7分,戸田公園,10.6,0.9,11.5
賃貸マンション,エクセルシティ戸田公園,ＪＲ埼京線/戸田公園駅 歩7分,戸田公園,10.6,0.9,11.5
賃貸マンション,ブレント新町,ＪＲ京浜東北線/蕨駅 歩7分,蕨,12.4,0.6,13.0
賃貸マンション,ＪＲ京浜東北線 大宮駅 9階建 築8年,ＪＲ京浜東北線/大宮駅 歩6分,大宮,13.0,1.3,14.3
賃貸マンション,ＪＲ京浜東北線 大宮駅 9階建 築8年,ＪＲ京浜東北線/大宮駅 歩6分,大宮,13.3,1.3,14.600000000000001
賃貸マンション,さくら大宮,ＪＲ京浜東北線/大宮駅 歩6分,大宮,13.0,1.3,14.3
賃貸マンション,さくら大宮,ＪＲ京浜東北線/大宮駅 歩6分,大宮,13.3,1.3,14.600000000000001
賃貸アパート,カーサピアッツァ,湘南新宿ライン宇須/土呂駅 歩2分,土呂,12.1,0.45,12.549999999999999
賃貸アパート,カーサピアッツァ,湘南新宿ライン宇須/土呂駅 歩2分,土呂,12.2,0.45,12.649999999999999
賃貸アパート,カーサピアッツァ,湘南新宿ライン宇須/土呂駅 歩2分,土呂,12.2,0.45,12.649999999999999
賃貸アパート,カーサピアッツァ,湘南新宿ライン宇須/土呂駅 歩2分,土呂,12.3,0.45,12.75
賃貸アパート,カーサピアッツァ,湘南新宿ライン宇須/土呂駅 歩2分,土呂,12.3,0.45,12.75
賃貸アパート,カーサピアッツァ,湘南新宿ライン宇須/土呂駅 歩2分,土呂,12.4,0.45,12.85
賃貸マンション,エスティメゾン浦和,ＪＲ京浜東北線/浦和駅 歩6分,浦和,16.9,1.0,17.9
賃貸アパート,ＪＲ京浜東北線 さいたま新都心駅 3階建 築9年,ＪＲ京浜東北線/さいたま新都心駅 歩8分,さいたま新都心,12.5,0.5,13.0
賃貸アパート,ユーフォリア宮原,ＪＲ高崎線/宮原駅 歩4分,宮原,7.3,0.3,7.6
賃貸マンション,cielo.T,埼玉高速鉄道/鳩ヶ谷駅 歩7分,鳩ヶ谷,9.0,0.6,9.6
賃貸マンション,埼玉高速鉄道 鳩ヶ谷駅 5階建 築8年,埼玉高速鉄道/鳩ヶ谷駅 歩7分,鳩ヶ谷,9.0,0.6,9.6
賃貸マンション,ベル・メール大宮,ＪＲ京浜東北線/大宮駅 歩7分,大宮,14.3,1.0,15.3
賃貸マンション,ベル・メール大宮,ＪＲ京浜東北線/大宮駅 歩7分,大宮,14.3,1.0,15.3
賃貸アパート,東武伊勢崎線 獨協大学前駅 3階建 築10年,東武伊勢崎線/獨協大学前駅 歩5分,獨協大学前,9.2,0.5,9.7
賃貸アパート,東武伊勢崎線 獨協大学前駅 3階建 築10年,東武伊勢崎線/獨協大学前駅 歩5分,獨協大学前,9.8,0.5,10.3
賃貸アパート,サンシャイン,東武伊勢崎線/新越谷駅 歩6分,新越谷,11.4,0.5,11.9
賃貸アパート,サンシャイン,東武伊勢崎線/新越谷駅 歩6分,新越谷,12.1,0.5,12.6
賃貸アパート,サンシャイン,東武伊勢崎線/新越谷駅 歩6分,新越谷,12.2,0.5,12.7
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 新築,東武伊勢崎線/新越谷駅 歩6分,新越谷,12.1,0.5,12.6
賃貸アパート,東武伊勢崎線 新越谷駅 3階建 新築,東武伊勢崎線/新越谷駅 歩6分,新越谷,12.2,0.5,12.7
賃貸アパート,グラン　ソレイユ,ＪＲ京浜東北線/北浦和駅 歩3分,北浦和,13.5,1.0,14.5
賃貸アパート,グラン　ソレイユ,ＪＲ京浜東北線/北浦和駅 歩3分,北浦和,13.7,1.0,14.7
賃貸アパート,グラン　ソレイユ,ＪＲ京浜東北線/北浦和駅 歩3分,北浦和,13.7,1.0,14.7
