建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,IS銀座レジデンス,ＪＲ山手線/新橋駅 歩5分,新橋,25.5,1.5,27.0
賃貸マンション,日暮里・舎人ライナー 足立小台駅 11階建 新築,日暮里・舎人ライナー/足立小台駅 歩12分,足立小台,17.8,1.2,19.0
賃貸マンション,日暮里・舎人ライナー 足立小台駅 11階建 新築,日暮里・舎人ライナー/足立小台駅 歩12分,足立小台,18.2,1.2,19.4
賃貸マンション,日暮里・舎人ライナー 足立小台駅 11階建 新築,日暮里・舎人ライナー/足立小台駅 歩12分,足立小台,18.5,1.2,19.7
賃貸マンション,Park Axis上野三丁目,ＪＲ山手線/御徒町駅 歩3分,御徒町,19.6,1.2,20.8
賃貸マンション,ＪＲ山手線 御徒町駅 地下1地上12階建 築10年,ＪＲ山手線/御徒町駅 歩3分,御徒町,22.4,1.5,23.9
賃貸マンション,都電荒川線 荒川遊園地前駅 6階建 築4年,都電荒川線/荒川遊園地前駅 歩2分,荒川遊園地前,16.3,1.5,17.8
賃貸マンション,ザ・パークハウス千代田淡路町,東京メトロ丸ノ内線/淡路町駅 歩1分,淡路町,32.8,0.0,32.8
賃貸マンション,コンフォリア西尾久,ＪＲ高崎線/尾久駅 歩14分,尾久,17.5,1.2,18.7
賃貸マンション,コンフォリア西尾久,ＪＲ高崎線/尾久駅 歩14分,尾久,18.2,1.2,19.4
賃貸マンション,コンフォリア西尾久,ＪＲ高崎線/尾久駅 歩14分,尾久,18.5,1.2,19.7
賃貸マンション,ロイジェント三ノ輪,東京メトロ日比谷線/三ノ輪駅 歩3分,三ノ輪,20.8,1.5,22.3
賃貸マンション,ロイジェント三ノ輪,東京メトロ日比谷線/三ノ輪駅 歩3分,三ノ輪,20.8,1.5,22.3
賃貸マンション,シティタワーズ東京ベイウエストタワー,新交通ゆりかもめ/有明駅 歩3分,有明,21.5,1.5,23.0
賃貸マンション,シティタワーズ東京ベイウエストタワー,新交通ゆりかもめ/有明駅 歩3分,有明,23.8,0.0,23.8
賃貸マンション,東京メトロ有楽町線 麹町駅 10階建 築6年,東京メトロ有楽町線/麹町駅 歩3分,麹町,29.0,0.0,29.0
賃貸マンション,東京メトロ有楽町線 麹町駅 10階建 築6年,東京メトロ有楽町線/麹町駅 歩3分,麹町,29.0,0.0,29.0
賃貸マンション,コンパル汐留,都営大江戸線/大門駅 歩5分,大門,21.5,1.2,22.7
賃貸アパート,パーチェ　ＭＴ,京成本線/新三河島駅 歩7分,新三河島,11.8,0.39,12.190000000000001
賃貸アパート,京成本線 新三河島駅 3階建 築2年,京成本線/新三河島駅 歩7分,新三河島,11.8,0.39,12.190000000000001
賃貸マンション,セレスティア,都営新宿線/小川町駅 歩2分,小川町,19.0,1.0,20.0
賃貸マンション,セレスティア,都営新宿線/小川町駅 歩2分,小川町,63.0,2.0,65.0
賃貸マンション,THE AXIS KOJIMACHI 　ジアクシス麹町,東京メトロ有楽町線/麹町駅 歩3分,麹町,29.0,0.0,29.0
賃貸マンション,THE AXIS KOJIMACHI 　ジアクシス麹町,東京メトロ有楽町線/麹町駅 歩3分,麹町,29.0,0.0,29.0
賃貸マンション,ザ・パークハビオ上野レジデンス,ＪＲ山手線/御徒町駅 歩2分,御徒町,22.4,1.5,23.9
賃貸マンション,CASA PIZZICATO,ＪＲ高崎線/尾久駅 歩7分,尾久,13.5,1.2,14.7
賃貸マンション,リビオレゾン内神田,東京メトロ千代田線/新御茶ノ水駅 歩4分,新御茶ノ水,17.0,0.0,17.0
賃貸マンション,東京メトロ千代田線 新御茶ノ水駅 13階建 築6年,東京メトロ千代田線/新御茶ノ水駅 歩4分,新御茶ノ水,17.0,0.0,17.0
賃貸マンション,東京メトロ丸ノ内線 御茶ノ水駅 14階建 築7年,東京メトロ丸ノ内線/御茶ノ水駅 歩15分,御茶ノ水,17.3,1.2,18.5
賃貸マンション,東京メトロ丸ノ内線 御茶ノ水駅 14階建 築7年,東京メトロ丸ノ内線/御茶ノ水駅 歩15分,御茶ノ水,20.1,1.2,21.3
賃貸マンション,東京メトロ丸ノ内線 御茶ノ水駅 14階建 築7年,東京メトロ丸ノ内線/御茶ノ水駅 歩15分,御茶ノ水,20.4,1.2,21.599999999999998
賃貸マンション,プレール・ドゥーク文京湯島,東京メトロ千代田線/湯島駅 歩1分,湯島,18.2,0.0,18.2
賃貸マンション,プレール・ドゥーク文京湯島,東京メトロ千代田線/湯島駅 歩1分,湯島,18.2,1.0,19.2
