都道府県,物件タイプ,部屋種別,駅,家賃,lon,lat
tokyo,マンション,ワンルーム,東京,9.2万円,139.76598675,35.68142116666667
tokyo,マンション,ワンルーム,有楽町,11.5万円,139.76362566666666,35.675532
tokyo,マンション,ワンルーム,新橋,11.3万円,139.7588392857143,35.66618485714286
tokyo,マンション,ワンルーム,浜松町,10.8万円,139.75700566666669,35.655482666666664
tokyo,マンション,ワンルーム,田町,10.0万円,139.747575,35.645736
tokyo,マンション,ワンルーム,高輪ゲートウェイ,9.3万円,139.7407,35.6355
tokyo,マンション,ワンルーム,品川,9.1万円,139.7388475,35.62868066666667
tokyo,マンション,ワンルーム,大崎,8.2万円,139.728439,35.619772
tokyo,マンション,ワンルーム,五反田,8.9万円,139.72405733333335,35.626112666666664
tokyo,マンション,ワンルーム,目黒,9.8万円,139.71556875,35.63343475
tokyo,マンション,ワンルーム,恵比寿,11.0万円,139.7098536,35.6468144
tokyo,マンション,ワンルーム,渋谷,10.9万円,139.70145854545456,35.65893609090909
tokyo,マンション,ワンルーム,原宿,11.4万円,139.702592,35.670646
tokyo,マンション,ワンルーム,代々木,10.1万円,139.70191666666668,35.68311333333333
tokyo,マンション,ワンルーム,新宿,8.2万円,139.70006215384618,35.68993538461538
tokyo,マンション,ワンルーム,新大久保,7.8万円,139.700261,35.700875
tokyo,マンション,ワンルーム,高田馬場,7.6万円,139.70405833333334,35.71289733333333
tokyo,マンション,ワンルーム,目白,7.2万円,139.706228,35.720476
tokyo,マンション,ワンルーム,池袋,7.2万円,139.7106608888889,35.730262555555555
tokyo,マンション,ワンルーム,大塚,7.4万円,139.728584,35.731412
tokyo,マンション,ワンルーム,巣鴨,7.6万円,139.738911,35.7334735
tokyo,マンション,ワンルーム,駒込,7.2万円,139.7472475,35.736892
tokyo,マンション,ワンルーム,田端,7.0万円,139.761229,35.737781
tokyo,マンション,ワンルーム,西日暮里,7.2万円,139.7667705,35.73202975
tokyo,マンション,ワンルーム,日暮里,7.6万円,139.771287,35.727908
tokyo,マンション,ワンルーム,鶯谷,7.6万円,139.778015,35.721484
tokyo,マンション,ワンルーム,上野,8.2万円,139.77706275,35.713213
tokyo,マンション,ワンルーム,御徒町,8.9万円,139.774727,35.707282
tokyo,マンション,ワンルーム,秋葉原,9.5万円,139.7739192,35.6985816
tokyo,マンション,ワンルーム,神田,10.0万円,139.77070550000002,35.6917765
tokyo,マンション,1K/1DK,東京,10.5万円,139.76598675,35.68142116666667
tokyo,マンション,1K/1DK,有楽町,11.6万円,139.76362566666666,35.675532
tokyo,マンション,1K/1DK,新橋,11.4万円,139.7588392857143,35.66618485714286
tokyo,マンション,1K/1DK,浜松町,10.9万円,139.75700566666669,35.655482666666664
tokyo,マンション,1K/1DK,田町,10.4万円,139.747575,35.645736
tokyo,マンション,1K/1DK,高輪ゲートウェイ,9.4万円,139.7407,35.6355
tokyo,マンション,1K/1DK,品川,9.2万円,139.7388475,35.62868066666667
tokyo,マンション,1K/1DK,大崎,9.3万円,139.728439,35.619772
tokyo,マンション,1K/1DK,五反田,9.4万円,139.72405733333335,35.626112666666664
tokyo,マンション,1K/1DK,目黒,10.1万円,139.71556875,35.63343475
tokyo,マンション,1K/1DK,恵比寿,11.7万円,139.7098536,35.6468144
tokyo,マンション,1K/1DK,渋谷,11.0万円,139.70145854545456,35.65893609090909
tokyo,マンション,1K/1DK,原宿,12.3万円,139.702592,35.670646
tokyo,マンション,1K/1DK,代々木,10.8万円,139.70191666666668,35.68311333333333
tokyo,マンション,1K/1DK,新宿,10.9万円,139.70006215384618,35.68993538461538
tokyo,マンション,1K/1DK,新大久保,9.6万円,139.700261,35.700875
tokyo,マンション,1K/1DK,高田馬場,9.1万円,139.70405833333334,35.71289733333333
tokyo,マンション,1K/1DK,目白,8.5万円,139.706228,35.720476
tokyo,マンション,1K/1DK,池袋,8.5万円,139.7106608888889,35.730262555555555
tokyo,マンション,1K/1DK,大塚,8.5万円,139.728584,35.731412
tokyo,マンション,1K/1DK,巣鴨,8.9万円,139.738911,35.7334735
tokyo,マンション,1K/1DK,駒込,8.8万円,139.7472475,35.736892
tokyo,マンション,1K/1DK,田端,8.0万円,139.761229,35.737781
tokyo,マンション,1K/1DK,西日暮里,8.3万円,139.7667705,35.73202975
tokyo,マンション,1K/1DK,日暮里,8.5万円,139.771287,35.727908
tokyo,マンション,1K/1DK,鶯谷,8.9万円,139.778015,35.721484
tokyo,マンション,1K/1DK,上野,10.2万円,139.77706275,35.713213
tokyo,マンション,1K/1DK,御徒町,10.2万円,139.774727,35.707282
tokyo,マンション,1K/1DK,秋葉原,10.2万円,139.7739192,35.6985816
tokyo,マンション,1K/1DK,神田,10.1万円,139.77070550000002,35.6917765
tokyo,マンション,1LDK/2K/2DK,東京,18.6万円,139.76598675,35.68142116666667
tokyo,マンション,1LDK/2K/2DK,有楽町,18.0万円,139.76362566666666,35.675532
tokyo,マンション,1LDK/2K/2DK,新橋,22.4万円,139.7588392857143,35.66618485714286
tokyo,マンション,1LDK/2K/2DK,浜松町,22.2万円,139.75700566666669,35.655482666666664
tokyo,マンション,1LDK/2K/2DK,田町,18.8万円,139.747575,35.645736
tokyo,マンション,1LDK/2K/2DK,高輪ゲートウェイ,19.3万円,139.7407,35.6355
tokyo,マンション,1LDK/2K/2DK,品川,18.0万円,139.7388475,35.62868066666667
tokyo,マンション,1LDK/2K/2DK,大崎,16.8万円,139.728439,35.619772
tokyo,マンション,1LDK/2K/2DK,五反田,17.5万円,139.72405733333335,35.626112666666664
tokyo,マンション,1LDK/2K/2DK,目黒,18.9万円,139.71556875,35.63343475
tokyo,マンション,1LDK/2K/2DK,恵比寿,21.4万円,139.7098536,35.6468144
tokyo,マンション,1LDK/2K/2DK,渋谷,22.1万円,139.70145854545456,35.65893609090909
tokyo,マンション,1LDK/2K/2DK,原宿,23.5万円,139.702592,35.670646
tokyo,マンション,1LDK/2K/2DK,代々木,18.3万円,139.70191666666668,35.68311333333333
tokyo,マンション,1LDK/2K/2DK,新宿,18.7万円,139.70006215384618,35.68993538461538
tokyo,マンション,1LDK/2K/2DK,新大久保,15.2万円,139.700261,35.700875
tokyo,マンション,1LDK/2K/2DK,高田馬場,14.5万円,139.70405833333334,35.71289733333333
tokyo,マンション,1LDK/2K/2DK,目白,14.3万円,139.706228,35.720476
tokyo,マンション,1LDK/2K/2DK,池袋,13.8万円,139.7106608888889,35.730262555555555
tokyo,マンション,1LDK/2K/2DK,大塚,14.1万円,139.728584,35.731412
tokyo,マンション,1LDK/2K/2DK,巣鴨,13.8万円,139.738911,35.7334735
tokyo,マンション,1LDK/2K/2DK,駒込,13.5万円,139.7472475,35.736892
tokyo,マンション,1LDK/2K/2DK,田端,11.2万円,139.761229,35.737781
tokyo,マンション,1LDK/2K/2DK,西日暮里,12.0万円,139.7667705,35.73202975
tokyo,マンション,1LDK/2K/2DK,日暮里,12.5万円,139.771287,35.727908
tokyo,マンション,1LDK/2K/2DK,鶯谷,13.3万円,139.778015,35.721484
tokyo,マンション,1LDK/2K/2DK,上野,15.4万円,139.77706275,35.713213
tokyo,マンション,1LDK/2K/2DK,御徒町,15.9万円,139.774727,35.707282
tokyo,マンション,1LDK/2K/2DK,秋葉原,16.8万円,139.7739192,35.6985816
tokyo,マンション,1LDK/2K/2DK,神田,17.4万円,139.77070550000002,35.6917765
tokyo,マンション,2LDK/3K/3DK,東京,27.4万円,139.76598675,35.68142116666667
tokyo,マンション,2LDK/3K/3DK,有楽町,24.7万円,139.76362566666666,35.675532
tokyo,マンション,2LDK/3K/3DK,新橋,32.8万円,139.7588392857143,35.66618485714286
tokyo,マンション,2LDK/3K/3DK,浜松町,32.9万円,139.75700566666669,35.655482666666664
tokyo,マンション,2LDK/3K/3DK,田町,28.0万円,139.747575,35.645736
tokyo,マンション,2LDK/3K/3DK,高輪ゲートウェイ,27.4万円,139.7407,35.6355
tokyo,マンション,2LDK/3K/3DK,品川,28.5万円,139.7388475,35.62868066666667
tokyo,マンション,2LDK/3K/3DK,大崎,26.0万円,139.728439,35.619772
tokyo,マンション,2LDK/3K/3DK,五反田,28.2万円,139.72405733333335,35.626112666666664
tokyo,マンション,2LDK/3K/3DK,目黒,29.4万円,139.71556875,35.63343475
tokyo,マンション,2LDK/3K/3DK,恵比寿,30.9万円,139.7098536,35.6468144
tokyo,マンション,2LDK/3K/3DK,渋谷,37.2万円,139.70145854545456,35.65893609090909
